 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  2751  2751    39   0.000E+00   0.000E+00   1.396E+00   6.792E+00
  3826  3826    40   0.000E+00   0.000E+00   1.613E+00   1.289E+01
  3826  3770    40   4.948E-01   5.042E-01   1.613E+00   1.289E+01
  3826    32    40   4.838E-01   4.931E-01   1.613E+00   1.289E+01
  3770  3826    40   3.593E-01   3.664E-01   1.613E+00   1.782E+01
  3770  3770    40   0.000E+00   0.000E+00   1.613E+00   1.782E+01
  3770    32    40   6.215E-01   6.318E-01   1.613E+00   1.782E+01
    32  3826    40   3.542E-01   3.613E-01   1.613E+00   1.774E+01
    32  3770    40   6.265E-01   6.370E-01   1.613E+00   1.774E+01
    32    32    40   0.000E+00   0.000E+00   1.613E+00   1.774E+01
  2844  2844    41   0.000E+00   0.000E+00   1.527E-01   2.036E+00
  2844    75    41   4.125E-01   4.478E-01   1.527E-01   2.036E+00
  2844  2748    41   5.072E-01   5.462E-01   1.527E-01   2.036E+00
    75  2844    41   7.502E-02   8.139E-02   1.527E-01   1.861E+00
    75    75    41   0.000E+00   0.000E+00   1.527E-01   1.861E+00
    75  2748    41   8.782E-01   9.148E-01   1.527E-01   1.861E+00
  2748  2844    41   9.062E-02   9.729E-02   1.527E-01   1.341E+00
  2748    75    41   8.627E-01   8.974E-01   1.527E-01   1.341E+00
  2748  2748    41   0.000E+00   0.000E+00   1.527E-01   1.341E+00
   162   162    42   0.000E+00   0.000E+00   1.465E+00   1.578E+01
   162  3345    42   1.841E-01   1.859E-01   1.465E+00   1.578E+01
